问题,关键字,相似问,答案
如何实现知识库里的文档只让对方看到指定文档和目录,"权限问题,指定文档,指定目录",如何设置知识库看不到其他文档,"<font color=""orange"">**亲爱的同学好~**</font>
您可以将整个知识库及该文档的上级目录的链接分享权限关闭，只开启指定文档/目录的链接分享权限：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671708505009261.png)
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671708505014553.png)"
如何给一个群的成员预定线上会议,"线上会议,会议邀请,批量邀请",你好如何给一个群的成员预定线上会议|怎么给一个群的成员预定线上会议|想给一个群的成员预定线上会议|群成员线上会议,"<font color=""orange"">**亲爱的同学好~**</font>
在群聊界面点击右侧边栏【日程】，将会创建一个参会人是所有群成员的日程哦~
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671684476730562.png)"
星盒（olap）的网址、使用手册,"星盒,olap",我不能开olap|星盒相关问题|星盒的网址是什么,"<font color=""orange"">**亲爱的同学好~**</font>
星盒的网址 [点击这里](https://adsdata.corp.kuaishou.com/inner_iframe?innerType=olap)；
星盒的相关信息可以参考此文档 [星盒用户使用手册](https://docs.corp.kuaishou.com/d/home/fcAAygC7jOpW-qfMogKIB6YFU)；
其他问题可以扫码进群反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671711953508443.png)"
无法打卡是什么原因,打卡,打卡定位不准,"<font color=""orange"">**亲爱的同学好~**</font>
打卡定位不准、无法打卡，可以参考以下步骤进行恢复：
1、有没有打开定位权限：手机进入 设置 - 隐私 - 定位，先关闭再打开重新设置下；
2、尝试切换下网络，清理 Kim 缓存保证 Kim 是最新版本，断开重新连接下网络（内网和 5G 等都切换看下是否可以定位）；
3、设置排查完手机系统的定位后，可以点击手机端 Kim 消息框里面的「位置」看下是否能定位（如下图）：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671713428418979.png)"
whatsAPP 收不到验证码,whatsapp,注册Whatsapp链接,"<font color=""orange"">**亲爱的同学好~**</font>
由于 whatsAPP 非公司软件，可以点击此网页参考里面的方法尝试解决 [https://www.jiadingqiang.com/14311.html](https://www.jiadingqiang.com/14311.html)，如果无法解决您的问题，请联系软件的客服处理。"
谷歌书签如何上传备份,"备份书签,谷歌书签,下载书签",google书签上传备份|google书签备份|书签|如何把谷歌书签上传备份|怎么把谷歌书签上传备份|谷歌书签怎么上传备份|谷歌书签如何上传备份|如何把书签上传备份|怎么把书签上传备份|书签怎么上传备份|书签如何上传备份|如何把谷歌书签备份|怎么把谷歌书签备份|谷歌书签怎么备份|谷歌书签如何备份|如何把书签备份|怎么把书签备份|书签怎么备份|书签如何备份|书签备份|谷歌书签|谷歌书签上传备份,"<font color=""orange"">**亲爱的同学好~**</font>

点击浏览器右上角-书签-书签管理器-右上角导出书签，可以将书签下载到本地，之后可以将下载好的文件拖曳到docs里，存储成云文档"
kdev diff 命令执行的时候，提示 git branch not found,git branch not found,git branch not found|kdev diff 命令执行的时候，提示 git branch not found,"<font color=""orange"">**亲爱的同学好~**</font>
**问题原因**：本地绑定的远程仓库已经迁移到新的group下，提交会被拦截，**可关注下git branch not found后面的 gitrepo 提示的仓库地址确认下**。
**解决方案：**
```
git remote remove XXX    #移除原地址
git remote add XXX      #添加新地址
git fetch
```"
买完粉条后发送的私信内容是否可以修改,私信内容,私信内容是否可以改,"<font color=""orange"">**亲爱的同学好~**</font>
购买粉条后发送的私信为固定模版不可修改，
私信内容定制：填写表格[私信模版需求收集](https://docs.corp.kuaishou.com/s/home/fcABpxJL4Bd6BzQMPMpgUFPP8#section=2086301783)，并联系<@=username(gaominxuan)=>、<@=username(lilan)=>确认需求即可。"
为什么转正系统目标设定填写了却没有信息,"转正系统,目标设定",中期评估的时候没有带出目标设定的信息,"<font color=""orange"">**亲爱的同学好~**</font>
您的目标设定是在（旧）转正系统提交的不显示为正常情况，切换新系统过后不会带历史填写数据哦。"
个人店铺如何升级为企业店铺,"个人店铺升级,店铺升级,升级企业店铺",个人店铺升级为企业店铺,"<font color=""orange"">**亲爱的同学好~**</font>
个人店铺升级为企业店铺流程?：[点这里](https://university.kwaixiaodian.com/kwaishop/knowledge/1424)。"
商业化问题对接群,商业化,商业化代理商、服务商问题|想加入 软广素材 处理的群聊|海外商业化谁会负责支付|商业化白绿名单查询,"<font color=""orange"">**亲爱的同学好~**</font>
商业化代理商、服务商问题咨询 ，可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671703497642797.png)"
创建两个任务投放同一视频，两个任务之间是否会相互影响,,两个任务投放一个视频可以吗,"<font color=""orange"">**亲爱的同学好~**</font>
尽量不要单个视频同时段下多单，投放量小的情况下没有影响，大的话会有影响。"
如何查看我的 HRBP,"hrbp,HRBP",职场霸凌|如何联系自己的bp|想查看我的HRBP|如何查看我们的HRBP|怎样查看我的HRBP|如何查看自己的HRBP|自己的hrbp怎么查|怎么看 hrbp|我的 hrbp 怎么查|咋看我的 hr|hr 是谁|我的 HR 是|怎么看部门 HRBP|我的 HRBP 是谁|请问我们部门的HRBP是？,"<font color=""orange"">**亲爱的同学好~**</font>
点击 Kim 右上角头像进入个人页，下滑可以看到您 HRBP 的邮箱前缀信息，可以联系反馈。"
不实名可以开直播吗,实名直播,直播必须实名吗,"<font color=""orange"">**亲爱的同学好~**</font>
不可以，根据国家相关法律法规及平台政策规定，不进行身份认证不支持开通直播。"
快手周边在哪里买,"周边,购买周边,买周边",如何购买公司的小快和小六|你好，请问快手周边在哪里买呀,"<font color=""orange"">**亲爱的同学好~**</font>
个人购买快手周边可以在应用号「[**我的小红花**](https://flower-plus.corp.kuaishou.com/flower/home/index.html#/)」中查看下是否有需要的周边。
**Kimi温馨提示**：若同学后续有购买疑问，可以在【小快小六粉丝群反馈】中反馈了解⬇️
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671655886362458.png)"
怎么投诉Kimi,,我怎么能投诉kimi|举报Kimi|投诉kimi,"非常抱歉没有让您满意，您可以回复「666」召唤人工客服；
如您在和 Kimi 沟通过程中遇到了不好的体验，可联系<span class=""mention"" data-kwai-user-id=""995779071226"">@张玉滢</span>反馈。"
Kim 如何设置灵活预约,灵活预约,开启灵活预约,"<font color=""orange"">**亲爱的同学好~**</font>
关于灵活预约的相关问题可以参考此文档 [如何开启灵活预约](https://docs.corp.kuaishou.com/d/home/fcAAgffJd3Oavhi8NtgwUXIh-#section=h.cmomb1mhbkqq)。"
如何开通CoreHR测试账号,"hr测试账号,开通hr测试账号",corehr虚拟账号申请,"<font color=""orange"">**亲爱的同学好~**</font>
添加CoreHR测试账号请走快流程申请：[点击此处申请](https://bpm.corp.kuaishou.com/agile-designer/pc/submit/LRqiZpQM1O)。
"
如何创建任务,"创建任务,team任务",如何给对方创提任务需求|任务怎么创建,"<font color=""orange"">**亲爱的同学好~**</font>
**在创建任务前需先确认任务的归属空间以及任务的执行人，创建任务工有以下几种入口**：
1. 点击导航栏右上方的【创建】按钮，在弹窗中填写任务信息后，创建即可，
2. 鼠标悬浮在任务组上，点击任务组后面的【+】，可以创建一个组内的任务，
3. 进入任务看板后，点击【任务组看板】，即可在对应任务组内创建新任务。
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671657779493392.png)
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671657779511199.png)"
企业号商家号认证问题,"企业号认证,商家号认证",商家号怎么认证|企业号怎么认证,"<font color=""orange"">**亲爱的同学好~**</font>
企业号商家号认证问题 ，可以Kim联系服务号<@=username(fwhsh-xms)=>咨询。"
ios无法连接kit vpn,"kit无法连接,连接vpn,连不上vpn",我的iPhone连不上公司kit软件了|Phone连不上kit|iPhone无法连接kit|苹果手机无法连接kit|苹果手机连不上kit|苹果手机连接kit总是失败|手机连接kit总是失败|我的手机一直连不上kit|ios无法连接kit|ios 无法链接kit|手机连不上kit|手机连不上vpn,"<font color=""orange"">**亲爱的同学好~**</font>
您可以尝试使用Cisco-VPN，具体操作方法[点这里](https://docs.corp.kuaishou.com/k/home/VAGQ5aFKOusA/fcACZm_9c0NS5wf-QN8H13Aqn)。"
群主是机器人的消息如何撤回,,群管理员管理的群消息可以找谁撤回呢,"<font color=""orange"">**亲爱的同学好~**</font>
群主是机器人的消息需要先将群主转让给真人再操作撤回消息；
群主是机器人的转让群主流程审批流：
- 群主是机器人，群内无其他管理员，审批人 Kim 侧同学；
- 群主是机器人，群内有其他管理员，审批人群管理员；-ANSWER@_@SPLIT--INTEND@_@-/kim_1_00002"
如何安装字体,"安装字体,下载字体",使用的mac air，为什么没有pingfangsc字体|文档中没有微软雅黑或其他字体|可商用字体包|hello 我想问一下，我的云文档没有楷体，并且改成楷体后也无法显示为楷体，这个问题怎么解决呢？|电脑安装微软雅黑|mac安装字体|Windows安装字体|mac安装字符|字体怎么安|如何安装字体|我想安装字体怎么安|怎样安装字体,"<font color=""orange"">**亲爱的同学好~**</font>
如果需要安装字体，或者 Docs 文档中没有相关字体，可以参考以下文档进行操作：
Windows 系统：[Windows 系统安装字体的方法](https://docs.corp.kuaishou.com/k/home/VEazZHb9kxBo/fcACzPGtex00myuNxGKI1tDQb)；
Mac 系统：[Mac 系统安装字体的方法](https://docs.corp.kuaishou.com/k/home/VXOSq5TTxdLw/fcAAcJ8bcz4YhoElO3ln6nDRb)。"
「我的HR」里我的团队里有哪些人呢,"我的hr,我的团队",请问我的HR里面哪些人能查询我的团队,"<font color=""orange"">**亲爱的同学好~**</font>
**我的团队包含人员**：HRBP和有汇报关系的下属
**员工类型**：
* 正式员工
* 其他1
* 其他2
* 其他3
* 其他4
* 全职劳务
* 实习生（普通）
* 实习生（校招）"
群助手怎么关闭,"群助手,定时消息",请问群助手怎么关,"<font color=""orange"">**亲爱的同学好~**</font>

群助手关闭可按下图操作哦：
![image.png](https://ali-kim-file.static.yximgs.com/bs2/kimPic/widqcro8glx0wjn215we03w8noy26elznjaeml5qm97u01phgl99i9om55j3e5wrtvd9lf8lajxxg2h7j7ppl4r6ox7n3epc08uot82du4izjsdrp2umbrb418okwqt4u610tkq9q51l24p.png)

![image.png](https://ali-kim-file.static.yximgs.com/bs2/kimPic/19j0y57nt2gg97oqroh64d36503nattf6x2iz7acu4zzbur2yakkiinppb438l59pfeo8tccsbs77vop94f3dzrc6av7cskigwofjcxgkna2p0v8fonzj2ajw7jytm9198d226uowxovduxh2ip.png)"
如何创建 Kim 应用号,"Kim应用号,创建应用号",创建kim应用|我想创建一个应用号|怎么创建应用号,"<font color=""orange"">**亲爱的同学好~**</font>
创建 Kim 应用号可以点击 [此流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_kimyyhsq44) 进行申请，如有任何问题，可以参考此文档 [Kim 应用号创建申请指南](https://docs.corp.kuaishou.com/d/home/fcACakBiib1PQB0GaPDKhb4uV)。"
校招内推可以精确到具体岗位吗,校招内推,校招的内推可以精确到具体岗位|校招的内推链接复制给校招生时只能到主页吗,"<font color=""orange"">**亲爱的同学好~**</font>
校招内推链接是分享所有岗位，无法精确到具体某个岗位。"
